编号,埋设位置,伏笔内容,预计兑现,状态
伏笔000,第一章,百草门青火铜盏验出冷灰并宣布冷灰不入药市,后续证明冷灰不是普通炉灰 而是丹道黑幕和旧丹窟污染的早期表象,已入正文
伏笔001,第一章,盛怀山遗物中出现灰布旧炉和“此炉不可示人”留字,第二章旧炉分尘显效 中后期揭示其远古来历,已入正文
伏笔002,第一章,罗敬安用温脉藤和后院作押逼迫守砚堂,第三章夜探守砚堂 第七章旧账围门,已兑现
伏笔003,第二章,旧炉只能分离已有药性和霉败杂质 烂透材料无效 多次使用让盛砚指节发冷胸口发闷,长期限制金手指不能凭空造药或替代修行,已入正文
伏笔004,第二章,罗敬安判断净粉不是盛怀山旧手艺能筛出 开始怀疑守砚堂有新货源,第三章派人夜探样粉 药包 账册和值钱药材,已兑现
伏笔005,第三章,夜闯者带着济安堂常用空药签和样封,证明罗敬安不只是抢钱 而是想查净粉来源,后续济安堂仍可作为白石城暗线回收 但近期不拖主线,已入正文
伏笔006,第三章,盛砚意识到门闩和药粉只能护一夜 必须争百草门身份和本事,第四章选择药童路 第九章开始修行线,已兑现
伏笔007,第四章,正式弟子开脉需上百灵砂且不保证成功 药童可暂不开脉入宗门外围,后续一线开脉与正式开脉形成差别 三次上评和折价开脉可作为短期目标,已入正文
伏笔008,第四章,一百三十六人取十二 三试为辨药分匣 核方记账 青涧药沟采药,第五章兑现三试并让盛砚以一中两上入选,已兑现
伏笔009,第五章,白节皮被盛砚封存复验导致第一试只得中评,第六章林照晚追问此事并因此看中他的谨慎,已兑现
伏笔010,第五章,灰心草与灰叶草相似 灰心草根气清苦,后续炉灰坡和旧灰环境中继续回收识药能力,已入正文
伏笔011,第六章,林照晚因专业判断收盛砚入照晚房 并非怜悯,后续她成为炼药启蒙导师 盛砚帮助她扭转冷灶处境,已入正文
伏笔012,第六章,朱边榜公布一月后炼药师比赛 林照晚名列其上,第十章比赛名录正式公布 第十五至十六章备药暗手和冷灶试炉承接,已入正文
伏笔013,第七章,济安堂旧账纸色 折痕 红泥印和年份不合,后续若白石城线回收 可追查济安堂与丹堂旧炉材账目,已入正文
伏笔014,第七章,盛砚决定旧炉不能留在守砚堂,第八章随身带上百草门并经侧门登记为旧砚盒药具,已兑现
伏笔015,第八章,守砚堂改为晨昏两段门 不接新客 熟客药包预分,解决盛砚入山后母亲独守药铺的逻辑,已入正文
伏笔016,第八章,盛砚在青槐渡低价变现只得凡俗钱和米面,证明小炉不能无风险印钱或快速凑开脉灵砂,已入正文
伏笔017,第八章,裂口砚盒登记为旧砚盒旧药具 小炉仍未暴露,后续查院或丹房事故可带来翻检风险,已入正文
伏笔018,第八章,章小满登场并提醒院签和封纸规矩,第九章湿草与退湿药损耗单冲突兑现其信息源功能,已兑现
伏笔019,第九章,章小满提到妹妹腿药差点断,后续章小满寄钱买药线让低阶药童资源压力具象化,已入正文
伏笔020,第九章,盛砚在退湿药根灰里发现遇水不沉的疑灰 叶知微用青火复核写下疑灰入山,后续牵出库房转运 丹房黑账 炉灰坡和旧丹窟污染记录,已入正文
伏笔021,第九章,旧炉分出短暂挣动的黑青细尘 九道旧纹中一道微亮,中后期揭示旧炉镇邪本质 但前期不解释,已入正文
伏笔022,第九章,林照晚给盛砚搬山桩半课,第十一章术法课失败和陆炉翁纠偏 第十二章一线开脉承接,已兑现
伏笔023,第十章,盛砚第一炉在三尺线外递药记火 发现温砂潮气重并入炉账,后续比赛备药被动手脚时以此经验发现材料异常,已入正文
伏笔024,第十章,共炉廊不是私人炉室 韩药师房能看见照晚房开炉和冷灶处境,后续比赛矛盾先围绕林照晚的炉位 材料 名声展开,已入正文
伏笔025,第十章,炼药师比赛正式名录把林照晚推到明处,第十五章备药暗手 第十六章冷灶试炉承接,已入正文
伏笔026,第十一章,洛含霜在缚藤术上压过盛砚 但指出其没开气路,后续同辈竞争由轻视转为互相确认实力,已入正文
伏笔027,第十一章,陆炉翁一眼指出盛砚脚 息 手三处毛病,后续揭示其为陆清崖并与盛怀山旧账有渊源,已入正文
伏笔028,第十二章,陆炉翁用旧炉棚温灰洗腿 净息三问和搬山桩纠偏助盛砚冲开一线细脉,后续低阶术法前置练习和外门嫉妒线承接,已入正文
伏笔029,第十二章,一线开脉不是正式开脉 不入弟子册 不能越级,后续正式开脉资格仍需宗门资源和评价,已入正文
伏笔030,第十二章,任务壁出现炉灰坡外围清草 盛怀山旧纸背面也写炉灰坡旧材 不入前柜,第十三章炉灰坡外围任务正式接入父亲旧账线,已入正文
伏笔031,中后段,旧炉真正身份为远古九曜净尘炉残胎,中后期镇妖和人族远古战争线展开,计划中
伏笔032,第一卷后段,旧丹窟只先露残方 封印 邪息和镇妖纹,不完整揭开强大妖灵,计划中
伏笔033,第一章,盛砚主动验灰被青衣执事看见 守砚堂虽亏半日灯油却守住不卖脏灰的名声,后续百草门外务或药市线可回收青衣执事对盛砚的初印象,已入正文
伏笔034,第六章,炼药师比赛末三房次月减炉时 连末两次者并房调人,第十五至十六章比赛备药暗手会直接威胁照晚房存续,已入正文
伏笔035,第八章,测封匣在裂口砚盒盒角停一息但被旧药具遮过,后续查院或丹房事故可回收小炉随身暴露风险,已入正文
伏笔036,第十二章,一线开脉后废藤只应半寸且立刻耗空,第十四章缚藤三息可以作为小幅兑现 但不得越级碾压洛含霜,已入正文
伏笔037,第十二章,炉灰坡双人任务被赵横先占一席 盛砚按下第二席,第十三章炉灰坡外围任务形成同行冲突并接入父亲旧账线,已入正文
伏笔038,第十一章,陆炉翁常年守在旧炉棚并熟悉炉灰残药 表面像看废炉怪老头,第一卷中后段揭示旧炉棚压着旧丹窟封印外脉 他是在养伤守封并暗查冷灰流向,已入正文
