条目类型,名称,正史细节,最后检查日期,备注
主角,盛砚,白石城守砚堂少年掌柜 十五六岁 清瘦 指节有分药筛灰留下的细小灼痕 会记账识药 遇事先稳住证据和边界,2026-06-10,优点必须通过行动呈现 不直接贴坚韧聪慧标签
母亲,沈芸,守砚堂掌柜之一 患寒脉症 仍坚持守铺等盛怀山归来,2026-06-10,第八章后守砚堂只留晨昏两段门 不接新客
父亲,盛怀山,失踪半年的废丹炉灰处理匠 留下灰布旧炉和此炉不可示人字条,2026-06-10,第十二章纸背出现炉灰坡旧材 不入前柜
城池,白石城,百草门山脚药材城 入山选起点 凡俗药铺 丹堂 商号和灵砂边料交易交界处,2026-06-10,前期主场 已在第八章离开
山脉,砚山,白石城以北山脉 百草门所在之地 炉灰坡位于其外围,2026-06-10,新手村地图核心
宗门,百草门,青岚郡小型丹药宗门 明面有结丹境掌门 数位筑基长老 掌控白石城药材 丹堂 入山名额和外门资源,2026-06-10,第一卷宗门主场
宗门老祖,陆清崖,百草门隐退老祖 表面身份为旧炉棚陆炉翁 真实境界元婴初期 曾为结丹后期大圆满 世人多以为旧丹窟一役陨落,2026-06-10,第十一章只以怪老头出场 不显身份 不知旧炉真实存在
金手指,旧炉,盛砚前期只称旧炉或小炉 除盛砚外无人知道其存在和功能 沈芸也不知道它能分离药性和败气 形制为巴掌大旧青铜炉 三足微曲 炉盖有裂 九道旧纹几乎磨平,2026-06-10,正文前期不出现净尘炉名 不解释远古来历 对外只用旧货净粉和筛药遮掩
旧炉规则,分尘初显,旧炉可把低阶药粉中尚存药性的部分与霉败杂质分开 不能救烂透死药 每次处理量小 多次使用让盛砚指节发冷胸口发闷,2026-06-10,第二章已写 用于换三钱温脉藤
旧炉异象,黑青细尘,第九章盛砚私下处理疑灰时 旧纹一道微亮 分出短暂挣动的黑青细尘 盛砚立刻封炉,2026-06-10,只有盛砚和读者看见 不解释妖灵 不说话 不传功 不开脉
境界一,开脉,打通基础经脉 共九段 是承受灵气和入门功法的基础门槛,2026-06-10,第一卷重点
境界二,引气,引天地灵气入体 周天运转 一至九层,2026-06-10,第一卷重点
境界三,筑基,筑道基并稳定灵力根基 共一至十二层,2026-06-10,第一卷只作伏笔
境界四,结丹,灵力凝丹 分初期 中期 后期 后期大圆满 正文统一称结丹,2026-06-10,不使用灵台 金丹境
境界五,元婴,神魂成婴 分初期 中期 后期 后期大圆满,2026-06-10,陆清崖真实境界
境界六,化神,神识化域触碰法则 分初期 中期 后期 后期大圆满,2026-06-10,后续大地图
境界七,返虚,窥见虚实之界 分初期 中期 后期 后期大圆满,2026-06-10,后续大地图
境界八,合道,与一方大道相合 分初期 中期 后期 后期大圆满,2026-06-10,传说层境界
境界九,渡劫,直面天地九重劫数,2026-06-10,飞升前夜
